StationID,StationName,latitude,longitude
2592,CASTLEPOINT AWS,-40.90416,176.21207
40984,MASTERTON EWS,-40.98155,175.67932
8567,PARAPARAUMU AERO AWS,-40.90455,174.98517
12442,PARAPARAUMU AERO EWS,-40.90392,174.98437
3145,PARAPARAUMU AERO,-40.907,174.984
31857,"TE WHARAU, BRACKENFIELD",-41.17278,175.80063
21938,MARTINBOROUGH EWS,-41.25231,175.38985
41212,"WELLINGTON, GRETA POINT CWS",-41.30243,174.80574
40750,"UPPER HUTT, TRENTHAM EWS",-41.14027,175.04283
41559,"PORIRUA, ELSDON PARK AWS",-41.12683,174.83531
25531,MANA ISLAND AWS,-41.08676,174.77996
41229,WELLINGTON AERO BACKUP AWS,-41.3313,174.80566
3445,WELLINGTON AERO,-41.322,174.804
25354,"WELLINGTON, KELBURN AWS",-41.28445,174.76794
18234,BARING HEAD,-41.40828,174.87146
2685,NGAWI AWS,-41.5885,175.2337
